Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-March-2026,1245.30,1265.00,1242.80,1251.20,1254.924279181306117896,645516,24707,810073701.00,397733,61.61,22.20,5.90
27-March-2026,1278.00,1295.00,1263.70,1270.00,1278.739074891097955992,572992,26117,732707260.00,253428,44.23,31.30,-8.00
25-March-2026,1277.85,1290.40,1258.30,1279.35,1281.130506662688941925,1045824,37565,1339837031.00,159790,15.28,32.10,1.50
24-March-2026,1269.95,1296.70,1250.65,1278.20,1281.261202352761439156,654550,29880,838649520.00,330800,50.54,46.05,8.25
23-March-2026,1249.60,1261.00,1227.55,1258.10,1252.691914698739099914,532794,21167,667426736.00,306907,57.60,33.45,8.50
20-March-2026,1240.80,1264.00,1229.30,1254.60,1249.448277671137335744,324038,11203,404868721.00,163456,50.44,34.70,13.80
19-March-2026,1240.80,1255.00,1215.25,1220.65,1228.251607288208239015,762931,41893,937071227.00,201045,26.35,39.75,-20.15
18-March-2026,1239.70,1290.60,1236.15,1267.45,1275.591349494841503180,448968,26747,572699697.00,155709,34.68,54.45,27.75
17-March-2026,1249.50,1249.50,1215.15,1232.50,1228.626677097364288193,340022,18527,417760100.00,173056,50.90,34.35,-17.00
16-March-2026,1244.75,1253.65,1225.00,1249.60,1237.478133427130964943,426450,22194,527722550.00,209731,49.18,28.65,4.85
13-March-2026,1253.00,1269.60,1243.10,1248.50,1255.647305035423005350,362194,23307,454787920.00,190862,52.70,26.50,-4.50
12-March-2026,1273.95,1278.60,1257.80,1265.85,1268.429158010978042440,678263,38593,860328566.00,234388,34.56,20.80,-8.10
11-March-2026,1294.00,1299.00,1272.00,1276.35,1289.385430697851612991,587976,14396,758127688.00,448521,76.28,27.00,-17.65
10-March-2026,1319.00,1321.75,1284.30,1295.55,1296.188994416728779225,218689,8563,283462275.00,112164,51.29,37.45,-23.45
9-March-2026,1294.55,1317.25,1282.50,1314.35,1298.350190907162553913,226288,10722,293801068.00,115723,51.14,34.75,19.80
6-March-2026,1304.85,1327.15,1304.00,1308.25,1314.902175572861929271,222654,7115,292768229.00,108184,48.59,23.15,3.40
5-March-2026,1315.95,1319.35,1290.30,1304.90,1302.688040196623396440,366996,27979,478081300.00,135780,37.00,29.05,-11.05
4-March-2026,1285.15,1316.85,1285.15,1307.50,1306.758363106272540361,474704,22136,620323422.00,239093,50.37,31.70,22.35
2-March-2026,1276.50,1298.85,1273.00,1288.15,1286.439067455078401092,374931,19797,482325886.00,164714,43.93,25.85,11.65
27-February-2026,1319.40,1335.00,1296.00,1299.95,1311.127521307670479011,708313,19786,928688668.00,342190,48.31,39.00,-19.45
26-February-2026,1304.00,1314.30,1286.20,1289.35,1299.335040460134170685,569573,33661,740066157.00,228643,40.14,28.10,-14.65
25-February-2026,1285.00,1323.45,1285.00,1290.35,1302.564490402368544677,1098396,41372,1430731626.00,445565,40.56,38.45,5.35
24-February-2026,1304.95,1304.95,1265.00,1276.55,1278.558199531740659779,1622178,71700,2074048983.00,947267,58.39,39.95,-28.40
23-February-2026,1354.00,1354.00,1318.55,1328.45,1331.273682755322408291,535284,22279,712609502.00,259822,48.54,35.45,-25.55
20-February-2026,1355.05,1365.75,1338.85,1352.75,1354.671458425154888649,596719,16377,808358198.00,339666,56.92,26.90,-2.30
19-February-2026,1384.70,1401.85,1363.90,1369.60,1388.691405632315252123,670346,24419,930903729.00,243258,36.29,37.95,-15.10
18-February-2026,1397.55,1400.55,1345.20,1373.55,1365.331471459551119822,1093343,42589,1492775607.00,460924,42.16,55.35,-24.00
17-February-2026,1370.00,1430.95,1366.70,1391.20,1408.215371224928291643,1811853,49010,2551479245.00,815000,44.98,64.25,21.20
16-February-2026,1384.85,1384.85,1339.00,1366.25,1352.288354676779832480,834292,32586,1128203356.00,345266,41.38,45.85,-18.60
13-February-2026,1298.00,1377.00,1281.55,1369.50,1336.938739373125778393,2817503,96324,3766828909.00,1141517,40.52,95.45,71.50
12-February-2026,1433.95,1434.95,1381.00,1387.20,1398.809059885231012655,1366397,71677,1911328503.00,711628,52.08,53.95,-46.75
11-February-2026,1498.40,1505.90,1469.00,1472.40,1481.900868758343010320,368572,23426,546187167.00,205107,55.65,36.90,-26.00
10-February-2026,1497.05,1516.05,1491.05,1498.70,1502.089621814552924834,222457,8647,334150351.00,146120,65.68,25.00,1.65
9-February-2026,1515.40,1527.80,1493.00,1497.05,1502.131696081983334195,347778,14023,522408357.00,233537,67.15,34.80,-18.35
6-February-2026,1518.20,1523.35,1480.15,1506.90,1500.892115765753536231,368330,13818,552823593.00,181073,49.16,43.20,-11.30
5-February-2026,1530.00,1551.00,1515.75,1519.80,1529.076017048982367468,642619,51810,982613301.00,281878,43.86,35.25,-10.20
4-February-2026,1580.35,1584.00,1510.10,1535.90,1536.650409761078452203,1355424,58455,2082812845.00,870677,64.24,73.90,-44.45
3-February-2026,1703.00,1727.85,1653.00,1654.95,1673.868609425205283827,336120,20660,562620717.00,187648,55.83,74.85,-48.05
2-February-2026,1660.00,1660.75,1618.00,1629.00,1631.971632439958231813,310284,14185,506374686.00,220094,70.93,42.75,-31.00
1-February-2026,1639.15,1677.30,1604.30,1659.65,1639.983423312105298689,488819,31397,801655057.00,372345,76.17,73.00,20.50
30-January-2026,1650.05,1652.85,1617.35,1640.45,1628.001975353166097693,244007,7879,397243878.00,158247,64.85,35.50,-9.60
29-January-2026,1659.00,1664.70,1641.60,1657.70,1655.374362235547671060,545656,23389,903264953.00,236343,43.31,23.10,-1.30
28-January-2026,1675.25,1688.65,1650.00,1666.40,1663.059375734649825821,374328,27958,622529690.00,181509,48.49,38.65,-8.85
27-January-2026,1683.00,1689.00,1661.25,1683.40,1679.801801015405664916,492611,5129,827488845.00,453809,92.12,27.75,0.40
23-January-2026,1650.35,1676.70,1650.35,1670.60,1668.163225819370535200,399514,5174,666454563.00,364753,91.30,26.35,20.25
22-January-2026,1666.15,1670.90,1653.55,1663.35,1661.198785182715188626,263908,23472,438403649.00,66059,25.03,17.35,-2.80
21-January-2026,1644.95,1658.40,1631.00,1654.60,1645.402340234023402340,228866,14072,376576652.00,136542,59.66,27.40,9.65
20-January-2026,1674.00,1679.50,1652.65,1657.70,1667.993485796539467113,272328,5414,454241330.00,226003,82.99,26.85,-16.30
19-January-2026,1689.20,1689.20,1666.45,1680.35,1678.265476427444915708,195927,6059,328817520.00,136357,69.60,22.75,-8.85
16-January-2026,1670.30,1693.00,1654.55,1689.40,1679.135023926286254385,808316,21354,1357271706.00,401619,49.69,38.45,19.10
14-January-2026,1589.95,1616.20,1583.75,1599.05,1599.629691869286357875,600427,26399,960460857.00,234088,38.99,32.45,9.10
13-January-2026,1606.20,1616.00,1586.55,1597.95,1595.022107581639108667,256066,23873,408430931.00,115496,45.10,29.45,-8.25
12-January-2026,1603.15,1612.85,1592.35,1595.95,1599.693048929723645549,305622,12368,488901389.00,200301,65.54,20.50,-7.20
9-January-2026,1607.20,1630.90,1607.20,1614.75,1620.244775634894411306,172509,5486,279506806.00,107489,62.31,23.70,7.55
8-January-2026,1636.10,1644.15,1608.80,1613.15,1618.802260745666112562,526375,24225,852097040.00,171958,32.67,35.35,-22.95
7-January-2026,1613.05,1642.00,1613.05,1638.90,1633.412837585145454487,312847,17905,511008306.00,202810,64.83,28.95,25.85
6-January-2026,1601.50,1619.85,1599.00,1611.15,1612.852180929671704579,220594,8958,355785514.00,134535,60.99,20.85,9.65
5-January-2026,1632.05,1636.65,1583.50,1606.40,1602.758349614061595335,322979,22364,517657289.00,200485,62.07,53.15,-25.65
2-January-2026,1633.05,1643.20,1628.00,1640.65,1638.929974576574641028,139635,4597,228851987.00,101029,72.35,15.20,7.60
1-January-2026,1608.95,1639.40,1608.95,1629.50,1629.491931890384282142,484748,29287,789892955.00,112492,23.21,30.45,20.55
31-December-2025,1623.95,1628.95,1609.90,1616.45,1617.447453506819401967,331554,18977,536271173.00,216333,65.25,19.05,-7.50
30-December-2025,1640.00,1648.00,1618.50,1624.40,1633.230003561098903007,230266,9645,376077340.00,150550,65.38,29.50,-15.60
29-December-2025,1655.55,1672.00,1638.00,1645.50,1646.112000679703022064,153008,5565,251868305.00,104350,68.20,34.00,-10.05
26-December-2025,1658.30,1668.30,1651.15,1655.55,1659.007765532275644907,206425,7190,342460678.00,160653,77.83,17.15,-2.75
24-December-2025,1660.00,1667.70,1652.25,1662.40,1660.955600983543300945,243609,21972,404623733.00,41911,17.20,15.45,2.40
23-December-2025,1681.95,1681.95,1655.95,1668.10,1664.595516097830592787,289480,20912,481867110.00,169444,58.53,26.00,-13.85
22-December-2025,1669.95,1692.90,1662.80,1689.70,1681.794666281734360621,831315,23222,1398101133.00,559744,67.33,30.10,19.75
19-December-2025,1645.05,1655.00,1629.70,1639.60,1641.445336162691142759,434492,10115,713194867.00,330472,76.06,25.30,-5.45
18-December-2025,1610.00,1629.00,1607.00,1626.35,1623.987441900221819593,713643,41608,1158947270.00,248382,34.80,22.00,16.35
17-December-2025,1590.00,1606.50,1586.45,1602.10,1601.482837923302478008,173930,6625,278545910.00,114926,66.08,20.05,12.10
16-December-2025,1598.05,1603.20,1585.90,1592.35,1591.152458112456712072,342763,10536,545388190.00,274724,80.15,17.30,-5.70
15-December-2025,1581.00,1610.70,1581.00,1607.05,1604.532939156311229719,231199,10965,370966411.00,160097,69.25,29.70,26.05
12-December-2025,1602.05,1602.05,1582.30,1598.75,1591.770860444667755307,398050,6412,633604391.00,352417,88.54,19.75,-3.30
11-December-2025,1598.80,1605.80,1580.95,1597.80,1593.795465185047253500,762589,35406,1215410890.00,220638,28.93,24.85,-1.00
10-December-2025,1600.55,1606.30,1582.45,1584.65,1592.278115167922733591,574014,37634,913989930.00,358077,62.38,23.85,-15.90
9-December-2025,1600.05,1606.15,1582.50,1599.35,1596.747631505249281084,146401,6512,233765450.00,91524,62.52,23.65,-0.70
8-December-2025,1615.95,1629.80,1600.60,1610.05,1616.325617489594193128,255146,8359,412399016.00,152207,59.65,29.20,-5.90
5-December-2025,1607.35,1631.20,1600.85,1615.95,1617.232057987211613740,687186,25654,1111339229.00,423572,61.64,30.35,8.60
4-December-2025,1560.75,1599.75,1560.75,1597.80,1594.062380182861436433,1501246,55397,2393079772.00,640545,42.67,39.00,37.05
3-December-2025,1555.00,1585.60,1551.10,1578.30,1573.137385609322988876,462341,16678,727325912.00,256827,55.55,34.50,23.30
2-December-2025,1564.05,1579.55,1556.00,1560.75,1565.356545398068135462,267203,12538,418267965.00,181845,68.05,23.55,-3.30
1-December-2025,1560.25,1573.70,1557.00,1563.15,1562.616571389214133204,217785,5596,340314450.00,168651,77.44,16.70,2.90
28-November-2025,1569.10,1569.10,1556.95,1559.70,1562.251443555289865902,220809,4291,344959179.00,181494,82.20,12.15,-9.40
27-November-2025,1557.05,1574.40,1552.40,1566.15,1564.059486623241000905,866615,33677,1355437412.00,111734,12.89,22.00,9.10
26-November-2025,1534.55,1559.95,1534.45,1557.75,1547.619665980181001640,190827,15315,295327618.00,81852,42.89,25.50,23.20
25-November-2025,1549.00,1549.45,1526.00,1530.00,1532.294014435089063973,266157,12309,407830778.00,182016,68.39,23.45,-19.00
24-November-2025,1557.15,1584.95,1541.55,1549.40,1566.066502183858978904,414633,15495,649342852.00,242955,58.60,43.40,-7.75
21-November-2025,1530.00,1551.50,1527.50,1544.60,1547.353060513066684953,699948,10912,1083066680.00,599695,85.68,24.00,14.60
20-November-2025,1541.00,1555.00,1533.40,1536.75,1538.143485587830510183,932233,29694,1433908116.00,207122,22.22,21.60,-4.25
19-November-2025,1488.80,1542.85,1488.80,1541.25,1530.345211683227943390,415125,16690,635284556.00,186532,44.93,54.05,52.45
18-November-2025,1505.05,1505.05,1483.45,1485.65,1487.380352335005261791,658521,10815,979471197.00,148085,22.49,21.60,-19.40
17-November-2025,1485.10,1509.90,1485.10,1507.60,1501.120893138637683564,192848,9520,289488162.00,108896,56.47,24.80,22.50
14-November-2025,1510.65,1529.65,1489.30,1502.50,1505.278699266137486895,427328,17004,643247736.00,241906,56.61,40.35,-8.15
13-November-2025,1558.95,1558.95,1530.40,1542.35,1544.094991487621384616,1051410,34662,1623476915.00,333214,31.69,28.55,-16.60
12-November-2025,1541.20,1557.90,1538.25,1551.40,1550.046266574165737759,641435,24832,994253927.00,381366,59.46,19.65,10.20
11-November-2025,1523.25,1532.50,1511.00,1530.60,1523.665033951528489760,521626,20405,794783297.00,352230,67.53,21.50,7.35
10-November-2025,1495.00,1520.00,1490.15,1514.60,1511.788211519131340247,664564,23237,1004680021.00,367953,55.37,29.85,19.60
7-November-2025,1470.00,1481.15,1449.35,1477.35,1463.867489137027572560,402284,17566,588890469.00,228104,56.70,31.80,7.35
6-November-2025,1473.20,1482.70,1461.30,1466.25,1468.778842551310199096,1067624,32784,1568103543.00,200859,18.81,21.40,-6.95
4-November-2025,1480.00,1481.20,1463.00,1468.00,1471.795260973338349481,162143,9828,238641299.00,125580,77.45,18.20,-12.00
3-November-2025,1481.30,1490.00,1474.35,1485.35,1481.799062868700488791,296650,13773,439575692.00,209907,70.76,15.65,4.05
31-October-2025,1491.55,1496.95,1481.00,1482.50,1487.705078514720376338,330766,11783,492082258.00,258702,78.21,15.95,-9.05
30-October-2025,1506.00,1507.80,1489.00,1493.60,1494.144297786836041826,556398,22558,831338899.00,126895,22.81,18.80,-12.40
29-October-2025,1500.00,1519.80,1496.85,1510.80,1509.955346427421479378,273304,15210,412676836.00,200647,73.42,22.95,10.80
28-October-2025,1498.20,1505.55,1490.50,1500.60,1496.372989947481456081,443272,21549,663300248.00,319147,72.00,15.05,2.40
27-October-2025,1512.30,1515.00,1498.00,1504.80,1507.152995382344577301,295388,13771,445194909.00,163151,55.23,17.00,-7.50
24-October-2025,1538.00,1542.30,1517.45,1525.40,1525.881798863249626844,373169,17433,569411785.00,240975,64.58,24.85,-12.60
23-October-2025,1515.00,1545.70,1506.90,1528.85,1530.507621444010121327,1133053,36938,1734146252.00,352715,31.13,38.80,13.85
21-October-2025,1477.25,1484.60,1470.00,1472.00,1475.555289954054389668,161060,10515,237652935.00,102153,63.43,14.60,-5.25
20-October-2025,1446.15,1466.85,1446.15,1461.50,1460.575532531337754379,403826,16260,589818375.00,251853,62.37,20.70,15.35
17-October-2025,1459.00,1459.00,1433.80,1441.30,1444.240331565678273626,709603,43384,1024837272.00,412884,58.19,25.20,-17.70
16-October-2025,1475.00,1484.85,1460.20,1472.75,1470.749048882657818779,764627,24948,1124574433.00,163922,21.44,24.65,-2.25
15-October-2025,1488.00,1488.70,1467.40,1473.90,1474.868141355171924571,331279,18039,488592843.00,78511,23.70,21.30,-14.10
14-October-2025,1494.95,1514.85,1486.20,1489.80,1497.749356086961829079,163842,14323,245394250.00,83973,51.25,28.65,-5.15
13-October-2025,1499.95,1504.75,1483.50,1493.00,1492.447263360827296201,314857,16626,469907468.00,186505,59.23,21.25,-6.95
10-October-2025,1510.05,1521.05,1497.95,1514.25,1513.477415581798792024,203481,11429,307963898.00,108419,53.28,23.10,4.20
9-October-2025,1503.90,1513.40,1487.10,1509.40,1507.667185305277563349,581651,20880,876936126.00,95024,16.34,26.30,5.50
8-October-2025,1456.10,1497.90,1455.00,1494.95,1492.284471019033582703,285653,9464,426275536.00,188514,65.99,42.90,38.85
7-October-2025,1479.35,1483.00,1454.10,1456.10,1458.871175342046242670,222046,4676,323936509.00,184101,82.91,28.90,-23.25
6-October-2025,1446.55,1478.60,1442.05,1475.15,1464.520406993772842461,78527,4311,115004394.00,27402,34.90,36.55,28.60
3-October-2025,1443.45,1448.70,1433.80,1446.55,1442.936612194264981105,139459,5084,201230497.00,84638,60.69,14.90,3.10
